,author,record_enumerated,VIAF_birthdate,S2_pubdates,S2_Year,VIAF_titlelist,S2_titlelist,S2titles
9,anonymous,0,1812-02-19,no date,1996,"['Adam Szaleniec', 'Agaj-Han', 'Agay-Han : powieść historyczna', 'Chopins sange', 'Comédie non-divine', 'Correspondance de Sigismond Krasiński et de Henry Reeve.', 'Correspondance [from old catalog]', 'Correspondence. Selections', 'Correspondence. Selections. 2013', 'Czy pamiętasz', 'Drobniejsze utwory poetyczne', 'Dzieła', 'Dzieła zebrane', 'Dzień dzisiejszy', 'Écrits politiques et critiques', 'Fala', 'Fantazja konania', 'Gastołd', 'Grób rodziny Reichsthalów', 'Herburt', 'Irydion', ""Joanna d'Arc"", 'Korespondencja Zygmunta Krasińskiego', ""L'aube du grand jour"", 'Legenda', ""Lettere dall'Italia"", 'Liryki : wybór', 'Listy', 'Listy do Adama Sołtana', 'Listy do Augusta Cieszkowskiego, Edwarda Jaroszyńskiego, Bronisława Trentowskiego', 'Listy do Delfiny Potockiej', 'Listy do Henryka Reeve', 'Listy do Jerzego Lubomirskiego', 'Listy do ojca', 'Małgorzata z Zembocina', 'Modlitwy', 'Mściwy karzeł i Masław, książę mazowiecki', 'Nie-Boska komedia', 'Nie-Boska komedia. Cz. 1', 'Niedokończony poemat; z pośmiertnych rękopismów.', 'Noc letnia', 'Oeuvres complètes du poëte anonyme de la Pologne', 'Oeuvres en français', 'Ostatni', 'Pan Trzech Pagórków', 'Panie Kochanku', 'Pieśni.', 'Pisma', 'Pisma dyskursywne', 'Poems. Selections', 'Poeta', 'Poezje, 1907.', 'Poezje liryczne.', 'Pokusa', 'Polski słownik biogr.:', 'Prose poétique', 'Proza poetycka.', 'Przedświt', 'Psalmy przyszłości.', 'Pytasz się', 'Resurrecturis', 'Roma', 'Rosja', 'Songs', 'O stanowisku Polski z Bożych i ludzkich względów', 'Starosta Wilczek', 'Syn Botzarisa', 'Teodoro, król borów', 'Trzy myśli pozostałe po ś. p. Henryku Ligenzie zmarłym w Morreale 12 kwietnia 1840 roku', 'Den U-guddommelige Komedie', 'Ułamek naśladowany z glozy ś[w]. Teresy', 'Die ungöttliche Komödie', 'Utwory francuskie', 'Utwory młodzieńcze (1825-1832)', 'Vybrané spisy', 'W Twoim ze śmierci ku życiu odrodzie...', 'Wanda', 'Wiersze, poematy, dramaty', 'William Wallas', 'Władysław Herman i jego dwór', 'Works. 1922', 'Works. Selections', 'Works. Selections. 1980', 'Wybór pism', 'Z gór, gdzie dźwigali', 'Z nieboskiej komedyi', 'Zamek Wilczki', 'Zawsze i wszędzie.', 'Zniszczenie Ipsary', 'Zygmunt Krasiński : [wybór poezji].', 'Zygmunta Krasinskiego listy o poemacie Kajetana Koźmiana ""Stefan Czarniecki"" : poprzedzone wstępnem słowem i życiorysem', 'Песни для голоса в сопровождении фортепиано', 'Стихи: Ю. Словацкого, А. Мицкевича, К. Уейского, З. Красинского, М. Конопицкой, Вл. Сырокомля, К. Тетмайера, Л. Стаффа, Р. Квятковского, Э. Слонского, Л. Рыделя, Я. Нитовского, El...y (Асныка)', 'אירידיון', 'הקומדיה הבלתי אלוהית']",,nan
10,anonymous,1,1917-01-01,no date,1996,"['Beiji fengqing hua', 'Bích câu kỳ ngộ', 'Chʻen ssu shih yen.', 'Dan shui yu ming si', 'Essays. Selections', 'Flower terror : suffocating stories of China', 'Gu weng', 'Hai de cheng fa.', 'Hai di cheng fa.', 'Hai yan', 'Hong sha', 'http://authorities.loc.gov/ consulté le 2012-11-26', 'Hua de kong bu', 'Huo shao de du men.', 'Jin qian, biao qing, you tiao', 'Jinse de she ye', 'Jungguk munhak sok ui Hanguk', 'Kai hua zai xing yun yi wai', 'Long ku', 'Lü se di hui sheng', 'Lục súc tranh công', 'Luxiya zhi lian', 'Ming mu shen yan fang', 'Mingxiang ou shi', 'Neutralizing TGF-β promotes anti-tumor immunity of dendritic cells against pancreatic cancer by regulating T lymphocytes', 'I pai wan nien i chʻien, 1947.', 'Poems. Selections', 'Quan Âm Thị Kính', 'Red in tooth and claw : twenty-six years in Communist Chinese prisons', 'The scourge of the sea, 1985:', 'Short stories. Selections', 'Shu qing yan yun', 'Si de yan ceng', 'Si shi nian lai jia guo Fan xiang tan qin san wen', 'Speeches', 'Study of international conflicts', 'Ta li de nü ren, 2010:', 'Tʻa li ti nü jen.', 'Truyện nhị độ mai', 'Truyện trê cóc', 'Works. 1977', 'Works. 1983', 'Works. 1998', 'Works. Selections. 1985', 'Works. Selections. 1996', 'Works. Selections. 2000', 'Wu ming shi shi ci mo ji', 'Wumingshi zi xuan ji.', '""Wumingshu"" jingcui', 'Xielu', 'Xin ke Shan e tu quan zhuan', 'Yeh shou, yeh shou, yeh shou, 1989:', 'Yi bai wan nian yiqian', 'Yin-ti.', 'Yindi', 'Yu jian', 'Yu zhong shi chao : xie zai nao zhi shang di 125 shou shi', 'Zheng yi ling shu', 'Zhongguo da bei ju shi dai dui hua', 'Zou xiang ge ge ta : 1968 nian shou nan ji shi', '이범석 장군 실화소설', '중국문학 속의 한국', '톰스크의 연인들', '塔裏的女人', '一百萬年以前', '冥想偶拾', '北極風情畫', '印蒂', '善惡圖', '在生命的光环上跳舞', '野兽・野兽・野兽', '拯疫靈書', '龍窟', '開花在星雲以外', '情緣 : 我眼中的他 (她)', '抒情煙雲', '新刻善惡圖全傳', '无名书》精粹', '无名氏集 : 沉思琐语', '无名氏代表作', '無名氏巡迴美、加、日演講紀要.', '無名氏自選集.', '無名氏詩詞墨蹟.', '明目神验方', '海峽兩岸七大奇蹟 : 無名氏演講集', '海的懲罰 : 下沙鄉集中營實錄', '海艷', '淡水魚冥思', '獄\u3000中\u3000詩抄 : 寫\u3000在\u3000腦\u3000紙\u3000上\u3000的\u3000125首\u3000詩', '紅鯊', '花的恐怖', '荒漠里的人 無名氏長篇小說', '蛊翁', '走向各各他 : 一九六八年受難紀實', '金錢, 表情, 油條', '露西亞之戀', '魚簡']",,nan
11,anonymous,2,1966-11-17,no date,1996,"['After', 'Aldri mer psykolog', 'Alice Springs', 'Après', 'Avec mon corps', 'Den avklädda bruden', 'Beowulf', 'Bis auf die Haut Roman', 'Bør', 'Bride stripped bare', 'Čajka:', 'Cleave', 'Fraskilt', 'Go Ask Alice', 'Hadaka ni sareta hanayome', 'Har mennesker med alvorlig psykiatrisk diagnose rettssikkerhet?', 'Jäälinnu saladus', 'Kingfisher secret', 'Korreksjon til mine journaler : historien om hvordan det gikk galt', 'Lærling : roman', 'Love song', 'mariée mise à nu roman', 'Med alle sanser', ""Medicina flagellata: or, the doctor scarify'd"", 'The medley', 'Mitt liv, mine valg, mine prøvelser.', 'De naakte bruid', ""Nation's Peril. : Twelve Years' Experience in the South. Then and Now. The Ku Klux Klan, a Complete Exposition of the Order: Its Purpose, Plans, Operations, Social and Political Significance; The Nation's Salvation"", 'Nevěsta do naha svlečená', 'Der Nibelunge liet', 'noces sauvages', 'noiva despida', 'Numb : Diary of a War Correspondent', 'Obnażeni', 'Old Babylonian Version of the Gilgamesh Epic', 'Ordeal of Elizabeth', 'Plaisir un florilège du coeur', 'Pleasure : an almanac for the heart', 'Presidentkandidaten', 'Priapeia.', 'Primary colors : a novel of politics', 'Przebudzeni', 'Quator tractatuli italici de contrapuncto', 'Rambles in Cuba', 'Reflections upon two pamphlets lately published one called, A letter from Monsieur de Cros, concerning the memoirs of Christendom. And the other, An answer to that letter. Pretended to have been written by the author of the said memoirs. By a Lover of', 'Restaurant Babylon.', 'Secret player.', 'Shiver : a novel', 'A Short Narrative of the Extraordinary Work of Grace at Cambuslang in Scotland; in a Letter to a Friend', 'Šifra ucena.', 'Sir gawain and the green knight - facing page translation.', 'Slender Man.', 'Souvenir Album of the Great European War : With Pictorial Maps of the Battlegrounds', 'Souvenir de Stockholm : en Stockholmsskildring i bilder från 1875', 'Story of the Herschels, a Family of Astronomers Sir William Herschel, Sir John Herschel, Caroline Herschel', 'Sturlunga I-III.', 'I take you : a novel', 'Temple of Our Soul: Bilingual Edition with Introduction and Translation', 'Total liberation', 'Traversée', 'The Trials of the Slave Traders, Samuel Samo, Joseph Peters, and William Tufft', 'Trondprinsen', 'Truth About German Atrocities : Founded on the Report of The Committee on Alleged German Outrages', 'Tusen och en natt', 'Untitled', 'Verbrannte Wege Roman', 'Visor', 'Watch and Clock Escapements A Complete Study in Theory and Practice of the Lever, Cylinder and Chronometer Escapements, Together with a Brief Account of the Origin and Evolution of the Escapement in Horology', 'Why you are Australian : a letter to my children', 'With my body', 'World English Bible (WEB): Romans', 'X-wife', 'Young Soldier', 'Den ¤nøgne brud', 'הכלה במערומיה', '裸にされた花嫁']",,nan
12,anonymous,3,1895-11-26,no date,1996,"['A.A. way of life', 'Alcoholics Anonymous', 'Alcoholics anonymous comes of age', 'Alcooliques anonymes. Le Manuel du service ...', ""As Bill sees it : the A.A. way of life-- selected writings of A.A.'s co-founder"", 'The best of Bill reflections on faith, fear, honesty, humility, and love.', 'The best of Bill : wiara, lęk, uczciwość pokora i miłość oraz klasyczny esej Billa o Anonimowości', 'The Big Book', 'Bill mówi o Dwanastu Tradycjach', 'Bill omawia Dwanaście Tradycji AA', 'Bill W. i jego sponsor : Bill Wilson i ojciec Ed Dowling, S. J. : ich przyjaźń opowiedziana w listach', 'Biru wa kō omō = As Bill sees it : AA no ikikata : AA no kyōdō sōshisha no seisen bunshū', 'Blaues Buch', 'Conceptos básicos sobre alcohólicos anónimos...', ""Coopérons avec nos amis, face à l'alcoolisme"", 'Los doce pasos  : del libro Los doce pasos y las doce tradiciones', 'Douze concepts de service mondial / par Bill W.', 'Doze conceitos para servicos mundiais', ""La foi, la peur, l'honnêteté, l'humilité, l'amour : cinq articles de Bill"", 'O Grande Livro (Alcoólicos Anônimos)', 'Historie Billa', 'History of service', 'Jak to widzi Bill : AA jako droga życia : wybór pism współzałożyciela AA', 'Język serca : teksty Billa W. dla magazynu ""Grapevine"".', ""The language of the heart : Bill W.'s Grapevine writings."", 'El lenguaje del corazón : los escritos de Bill W. para el Grapevine', ""L'héritage de services A.A."", 'Lo mejor de Bill fe, temor, sinceridad, humildad, amor', 'Le mode de vie des A.A. : réflexions de Bill', 'My first forty years', 'n50023083', 'Na opinião do Bill modo de vida de A.A. trechos selecionados do co-fundador de A.A.', 'Obra selecta', 'Pasaules kalpošanas divpadsmit koncepcijas : ilustrētas', 'Poradnik dla służb AA : uzupełniony o Dwanaście Koncepcji dla Służb Światowych spisanych przez Billa W.', 'The recovery bible', 'Sechs Artikel', 'El sendero de vida : como lo ve Bill : selección de escritos del cofundador de A.A.', 'Som Bill ser det : AAs livsstil : utvalgte sitater', 'The soul of sponsorship : the friendship of Father Ed Dowling, S.J. and Bill Wilson in letters', 'A tradicao de A.A. como ela se desenvolveu', 'La Tradition A.A. : son développement', 'Tres charlas a sociedades médicas', 'Trois causeries à des sociétés médicales', 'Twaalf concepten voor de werelddienst', 'Twelve concepts for world service', 'Twelve steps and twelve traditions', 'Wārudo sābisu no tameno 12 no gainen', 'Zoals Bill het ziet : de AA-manier van leven (geselecteerde teksten van de medeoprichter van AA)', 'Как это видит Билл образ жизни по АА (заметки одного из основателей АА)', 'Руководство по обслуживанию АА совместно с двенадцатью принципами организации всемирного обслуживания АА издание 2010-2011 годов, отражающее решения Конференции 2011 г. по общему обслуживанию АА', 'الكتاب الكبير', 'দ্য বিগ বুক', 'பெரிய புத்தகம் (ஆல்கஹாலிக்ஸ் அனானிமஸ்)', '빅북', 'ビッグブック', 'ビルはこう思う = As Bill sees it : AAの生き方 : AAの共同創始者の精選文集', 'ワールドサービスのための12の概念']",,nan
13,anonymous,4,700,no date,1996,"['Die ""alemannischen"" Städtereihen des Geographen von Ravenna : mit einem Anhang: Die Länder Albis und Baias', 'Anonim Raweński', 'Anónimo de Rávena', 'Britanniae chorographia', 'Cosmographia', 'Da Eteri a Ozieri, 2000:', 'Ex Chorographi Libris editis Parisiis à Placido Porcherono 1688, excerpta de terris Saxonum.', 'Gallia ab Anonymo Ravennate descripta', 'Géographe de Ravenne', 'Geographiae libri quinque', 'Geographiae veteris scriptores graeci minores, cum interpretatione latina, dissertationibus ac annotationibus Vol. I [-IV]', 'Itineraria romana', 'Périple de Scylax', 'Pomponii Melæ Libri tres de situ orbis, nummis antiquis & notis illustrati ab Jacobo Gronovio. Julii Honorii Oratoris excerpta cosmographiæ ab eodem nunc primum ex MS. edita. Cosmographia, falso æthicum auctorem præferens, cum variis lectionibus e MS. Ravennas Geographus, ex MS. Lugdunensi suppletus..', 'Ponti Euxini et Maeotidis paludis periplus', 'Quellen zur Geschichte der Alamannen', 'Ravenako kosmografia', 'Ravennatis Anonymi Cosmographia', 'Ravenska kozmografija', 'Κοσμογραφία της Ραβέννας', 'Равеннская космография', 'הקוסמוגרפיה של רוונה', 'كوزموغرافيا رافينا', 'ラヴェンナ・コスモグラフィ', '拉文纳地理志']",,nan
14,anonymous,5,1958-07-25,no date,1996,"['""@""', 'Alabama wildman, 2000:', 'Aluminium ; Have love will travel', 'Aphrodite (8 min 08 s)', 'Awakened by you', 'Bad moon rising', 'The best day', 'Blinded by thought', 'Blues from beyond the grave (4 min 36 s)', 'Bully : music from the Larry Clark film', 'By the fire', ""Cherry's blues (2 min 09 s)"", 'Cindy', 'Cusp (6 min 33 s)', 'Daydream nation', 'Demolished thoughts', 'Dennis Tyfus', ""Dolly's Restaurant"", 'Elegy for all the dead rock stars (19 min 49 s)', 'Exalted (11 min 54 s)', 'Extra action', 'Feathers (2 min 20 s)', 'Female cop (5 min 28 s)', 'Flutter echo : living within sound', 'Fourteen songs for Greg Sage and the Wipers.', 'Freemix norwave : Thurston Moore remix', 'From the weave, 2018:', 'Fuck shit up', 'Gluttony', 'The Guinness encyclopedia of popular music, 2nd ed.:', 'Hang out (4 min 12 s)', 'Heavy', 'In silver rain with a paper key (5 min 43 s)', 'The incredible son of swag.', 'Into the mylar chamber', 'Kicks, joy, darkness', 'Kill your idols', 'Live at Henie Onstad kunstsenter', 'Live at Tonic', 'Making Heretics', 'Manic', 'Mina loy (4 min 01 s)', 'Mix tape : the art of cassette culture', 'New life music', 'No crowd surfing', 'No wave post-punk, underground, New York, 1976-1980', 'Now and forever', 'Ono soul (3 min 26 s)', ""Paradoxia : a predator's diary"", 'Patti Smith Math Scratch (2 min 42 s)', 'Piece for Jetsun Dolma', 'Pillow wand', 'Poems.', 'Pretty bad (3 min 59 s)', 'The promise', 'Psychic hearts', ""Psychic [lover]'s"", 'Queen bee and her pals (2 min 58 s)', 'A remarkable grey horse', 'Rock n roll consciousness', 'The second Original Silence', 'See-through play-mate (2 min 18 s)', 'Shamballa duets with Thurston Moore and Elliott Sharp', 'She knows--', 'Silver > blue', 'Smoke of dream (6 min 04 s)', 'Sonic life : a memoir', 'Spirit counsel', 'Staring statues (2 min 35 s)', 'Street', 'SubUrbia, p1997:', 'Thing', 'Tranquilizer (2 min 04 s)', 'Tribute to the Velvet Underground & Nico', 'Turkish belly', 'Turn on (10 min 18 s)', 'Vinyl junkies : adventures in record collecting', ""We're desperate : the punk photography of Jim Jocoy : SF/LA 78-80"", 'The witch', 'You should have heard just what I seen', 'دیوانه', '헤비', '君に逢いたくて', '惨淡的青春', '愛你的心']",,nan
15,anonymous,6,1954-03-25,no date,1996,"[""L' affaire Cabre d'or : roman"", ""Les amants de l'exil : saga romanesque"", 'belle de mai', 'Brujas y demonios', 'chants de la Walkyrie', 'Charlie Chaplin', 'Collection Contes et légendes de France', ""Collection L'univers féerique"", 'dernier pape', 'domaine des oliviers roman', 'Du bestiaire fantastique', ""eaux douces d'Europe roman"", 'Enanos y gnomos', 'The encyclopedia of fantasy', 'Encyclopédie du merveilleux', ""énigme de l'Atlantide à la recherche de nos origines perdues dans un cataclysme planétaire"", ""Enquête sur l'existence des fées et des esprits de la nature"", ""enquêteurs de l'étrange les maisons hantées"", 'Fées et elfes', 'ferme aux maléfices', 'fils du patriarche roman', 'Formules magiques pour toutes circonstances d\'après les ""Évangiles des quenouilles""', 'Géants et dragons', 'Gigantes y dragones', 'grand livre des superstitions', 'grande bible des fées', 'Grande encyclopédie du merveilleux', ""Grimoire des loups-garous suivi d'autres traités fameux de lycanthropie"", 'guide de la sorcière sacrée pratique magique & perfectionnement', ""guide de l'apprentie sorcière pouvoirs secrets & rituels magiques"", 'guide du chasseur de fantômes', 'Gurimu dowa maho no hosoku.', ""De l'autre côté du miroir"", 'lavandières de Brocéliande', ""L'effet Pivot"", ""l'ère des gourous"", 'loups de la pleine lune journal intime retrouvé dans un manoir en ruines', 'lune mystères & sortilèges', ""L'univers feérique"", ""malédiction de l'anneau"", 'marais de Bourges roman', 'Nains et gnomes', 'pardons de Locronan roman', 'People of the light, c2006:', 'petit livre des sorcières', ""Des peuples de l'ombre"", ""pin-up un rêve d'Amérique"", 'Pirates et flibustiers du bout du monde', 'Psycho.', ""république des jeux enquête sur l'univers secret des jeux d'argent et de hasard"", ""Rue de l'Oubli ou Les ombres d'Istanbul roman"", 'Sectes, mensonges et idéaux', 'sept portes des ""Mille et une nuits""', 'Sereias e ondinas', ""sirène d'Ouessant roman"", 'Sirènes et ondines', 'sommeil du dragon', 'Sorcières et démons', 'Sorciers voyage  chez les astrologues, envoûteurs, guérisseurs, mages et voyants', 'Sortilèges & enchantements', 'Stavisky était mon père', ""Suivi d'autres recueils fameux de féerie et d'elficologie"", ""Suivi d'autres traités anciens, rares et précieux sur le même sujet"", ""Traité de sorcellerie suivi d'autres traités fameux et textes sulfureux consacrés aux sorciers et sorcières adeptes de la magie noire"", 'Traité de vampirologie par le docteur Abraham Van Helsing,...', ""Traité des arts divinatoires et autres méthodes pour connaître l'avenir tirées des mages, voyants et illustres cartomanciens"", 'Tratado de vampirologia seguido de vários tratdos antigos, raros e valiosos sobre o mesmo tema', 'trésor du Rhin', 'Trouver sa vérité par les contes de sagesse', 'univers de Jules Verne', 'Vivir la magia de los cuentos  : cómo lo maravilloso puede transformar nuestras vidas', 'Vivre la magie des contes comment le merveilleux peut changer notre vie', ""voeu d'étoile roman"", 'Трактат по вампирологии доктора Абрахама Ван Хельсинга, доктора медицины, доктора философии, доктора филологии и проч.', '西洋異形大全 : 妖精・幻想動物から幽霊・魔女まで']",,nan
16,anonymous,7,1969-01-18,no date,1996,"['02', '2 of 2', 'Accordion', 'I am happy, and I am singing, and a 1,2,3,4', 'Antithesis', 'Are you going to stop... in Bern ?', 'Aunt Esther', 'Bad timing', 'Best that you do this for me', '""Caught in the dilemma of being made to choose"" This makes the modesty which should never have been closed off itself Continue to ask itself: ""Ready or not?""', ""Chicago 2018 ... it's gonna change the real sources of the advanced Chicago sound"", 'Complete works', 'Con amor, Liza', 'The Creeping Garden', 'Démoni szerető', 'Demonlover', 'Dental Kafka', ""Desert moon / Aoyama Shinji, réal., scénario ; Jim O'Rourke, comp. ; Hiroshi Mikami, Maho Toyota, Yukiko Ikari... [et al.], act.. Eureka"", 'Desert moon, français', 'Diskaholics Anonymous Trio', 'Early minimalism, vol. 1', 'Electronic music. Selections', 'Ellipsis', 'End of the road (5 min 33 s)', 'Eureka', 'Fyddin Goch Unedig', 'Ghost ship in a storm', 'Half life crisis (4 min 41 s)', 'Halfway to a threeway', 'Happy holydays', 'Hello hawk', 'Hotel blue (3 min 20 s)', 'Imikuzushi', 'In memoriam Gilles Deleuze', 'Insignificance', 'Last year (5 min 47 s)', 'Lleuad Anialwch', 'Love Liza : a comic tragedy', 'Mass observation (expanded)', 'Merzbow unparalleled noise aesthetic', 'Movie on the way down', 'Musikprotokoll im Steirischen Herbst 98', ""Musique's action 2"", 'New kind of water', 'no99086132', 'Nordlicht', 'Only wanting to melt beautifully away is it a lack of contentment that stirs affection for those things said to be as of yet unseen', 'Picture of light', 'Please patronize our sponsors', 'Prelude to one hundred ten or two hundred and twenty - Women of the world', 'Rules of reduction', 'Scend', 'The second Original Silence', 'Shinjuku growl', 'Simple songs', 'Sketches of Kaitan City', 'Slapping Pythagoras, p1995:', 'Something big', 'Sound art beyond music, between categories', 'Sunrise', 'Tamper', 'Terminal pharmacy', 'That weekend (3 min 14 s)', 'These hands (3 min 13 s)', 'Through the night softly', 'To magnetize money and catch a roving eye', 'Tomorrow knows where you live', 'Two gentlemen', 'United red army', 'Unreleased?', 'The visitor', 'Voice crack remixes', 'Watashi no Otoko', 'X - X section', 'Xylophonen Virtuosen', 'Демон-любовник', 'Мой мужчина', 'Объединённая Красная Армия', 'С любовью, Лайза', 'عاشق دیوانه', 'عاشق لیزا', '내 남자', '養慾之恩', '私の男', '実録・連合赤軍 あさま山荘への道程', '慾色迷宮', '我的男人', '月の砂漠', '沙漠中的月亮', '海炭市敘景', '魔鬼情人']",,nan
17,anonymous,8,1422,no date,1996,"['Arithmetice summa tripartita', 'Bull. of John Rylands Lib.:', 'De confutatione Alchorani', 'Divisiones decem nationum totius Christianitatis', 'Duo sermones in vulgari Turcorum (cum interpretatione latina).', 'Értekezések a törökök szokásairól, viszonyairól és gonoszságáról', 'Expositio in Apocalypsim (extract: Lex illa Mahometi sacrilega)', 'Georgius de Hungaria Arithmetikája : 1499-ből', 'Kimondhatatlan nyomorúság Két emlékirat a 15-16. századi oszmán fogságról', 'Libellvs De Ritv Et Moribvs Tvrcorvm Ante LXX Annos Aeditus', 'De moribus, conditionibus et nequitia Turcorum', 'Oratio testimonialis', 'peur du Turc', 'Tractatus de ritu et moribus Turcorum', 'Traktat über die Sitten, die Lebensverhältnisse und die Arglist der Türken', 'Turchicę spurcitię et perfidiæ Suggillatio & confutatio duobus Libellis lectu jucundissimis nec minus gratis conclusa. Quorum prior fœdissimos mores & turpissima instituta eorum aperit & confutat. Posterior Alcoranum Turchicę perfidiæ instrumentum validissimis argumentis improbat. confutat. explodit. Est autem Richardi ordinis predicatoriie [sic] græco (cum apud latinos minus cultus extaret) nuper tralutus. Pręmissis quibusdam de Turcharum in Christianum nomen odio & Christianorum in eos jam concepta resistentia : lectu non indignis : & utriusque operis titulisseu capitibus.', 'Türckei. Chronica, Glaube, Gesatz, Sittenn, Herkommen, Weiss und alle Geberden der Türcken', 'Des Turcs, c2003:', 'Des turcs : traité sur les moeurs, les coutumes et la perfidie des Turcs', 'Türkei Sitten Gebärden Türken', 'Visiones Georgii']",,nan
18,anonymous,9,1860-02-13,no date,1996,"[""Afke's ten / told from the Dutch of Ninke van Hichtum. - London, 1960."", 'Afkes tiental', 'Apfelgugelhupf ein Märchen', 'Artusritter Allerlei Geschichten aus fernen Ländern', 'Brief van Sjoukje Maria Diderika Troelstra-Bokma de Boer (1860-1939) aan Cornelis Pieter Bruijn (1883-1978)', '[Contract uitgeverij W.J. Thieme', 'La dekopo de Afke', 'Dongeng anak2 dunia.', 'Eskymáček hrdina', ""[G.B. van Goor Zonen's Uitgeversmaatschappij"", 'Grote omnibus', 'Jelle van Sipke Froukjes', 'Kek, de jonge eskimo', '[Kontrakt Firma P. Kluitman útjouwer', '[Kontrakt útj. H. Meulenhof', '[Kontrakt útj. Nygh en Van Ditmar', '[Kontrakt W. de Haan Uitgever Utrecht', 'Le kouglof aux pommes', 'Kudlago la malgranda eskimo', '[Nederlandse kinderverhalen', '[Niet nader gecatalogiseerde archivalia]', '[Nieuwjaarswens Jitske Bokma', ""[Oantekeningen fan M.K. Scholten oer tastân kommen fan 'De Jonge priiskeatser'"", 'Oud Fransche legenden', ""[Overeenkomst uitg. 'De Arbeiderspers'"", '[Poazastuk: Eliot', ""[Prozafragment: Beste Kinderen! 'Nu ga ik jullie eens wat avonturen vertellen van den dapperen Walter'"", '[Prozafragment: Een keerpunt in het leven van Sjoerd Meinderts', '[Prozafragment: For de bern De lytse jounpraters by Nynke fen Hichtum', ""[Prozafragment over kippen: 'De andere kippen komen voorbij gescharreld'"", '[Prozastuk: Het ongeluk', 'Puteri Reno Emas, dengan tjeritera-tjeritera lain.', '[Radio-praatsje fan Barend van der Veen oer Nynke fan Hichtum', ""[Rousseau 'Emile ou de l'Education'"", '[Samling printkladden, mei oanttekeningen yn hânskrift (korreksjes) fan de skriuwster', '[Schimmels voor de koets .......of vlooien voor de koekepan', ""[Senario foar film oer Nynke fan Hichtum: 'Nynke, een liefdesgeschiedenis' - in film fan Pieter Verhoeff"", 'Het spel van moeder en kind : oude kinderrijmen voor jonge ouders', ""[Tekenwurk fan Piet Nienhuis foar in nije útjefte fan 'Der wie ris in âld wyfke'"", ""['De tsien fan Martens Afke' - op 'e nij oerset troch Jant Laverman"", ""[Typoscript van: 'Russische Sprookjes' van Nienke van Hichtum met platen fan Rie Cramer"", ""[Typoskript J.J.Kalma 'Nynke en Afke', mei inkelde opmerkingen yn hs. fan Jelle Troelstra"", 'Uhuhu', '[Úttypte teksten fan opnames foar radioprogramma Literama', '[Verscheidenheid aan uitdrukkingen en uitspraken', ""[Verzoek van Marie Kiersted Pidgeon om 'Afke' voor publicatie te mogen vertalen"", '[Volkswijsheden, ziekte, weerspreuken, voortekens', '[Voorstel voor een contract met Frances Jenkins Olcott', '[Voorwerk voor een prozastuk', '[Wereldbibliotheek', '[Ynskriuwing yn it gemeenteregister fan Brummen - famylje Bokma de Boer', '[Ynventarislist boeken fan Nynke fan Hichtum, oanwêzich op de Keninklike Biblioteek te Den Haach', 'Яблочный пирог перевод с нидерландского [для среднего школьного возраста]']",,nan
