year	originalchunkct	originalwordct	resampledchunkct	resampledwordct
1900	157	41225	157	41225
1901	78	21463	78	21463
1902	280	80964	280	80964
1903	423	108571	423	108571
1904	635	164685	635	164685
1905	829	214720	829	214720
1906	1073	278031	1073	278031
1907	894	239115	894	239115
1908	845	212683	845	212683
1909	946	250182	946	250182
1910	914	244964	914	244964
1911	789	205411	789	205411
1912	819	217807	819	217807
1913	921	240746	921	240746
1914	914	232294	914	232294
1915	1009	247403	1009	247403
1916	977	254807	977	254807
1917	815	217901	815	217901
1918	974	253469	974	253469
1919	617	160462	617	160462
1920	855	224837	855	224837
1921	806	214263	806	214263
1922	945	251941	945	251941
1923	1043	266531	1043	266531
1924	1130	310729	1130	310729
1925	1290	340120	1290	340120
1926	1262	333232	1262	333232
1927	1238	329313	1238	329313
1928	1402	380055	1402	380055
1929	1406	372378	1406	372378
1930	1461	388945	1461	388945
1931	1746	456132	1746	456132
1932	1551	406844	1551	406844
1933	1649	434894	1649	434894
1934	1779	466083	1779	466083
1935	1849	482319	1783	465828
1936	1925	489594	1783	451963
1937	1741	468359	1741	468359
1938	1866	494700	1783	471844
1939	1839	486529	1783	471305
1940	1862	493106	1783	472447
1941	1850	492313	1783	474782
1942	1911	497648	1783	464953
1943	1805	470578	1783	465202
1944	1783	464301	1783	464301
1945	1774	470437	1774	470437
1946	1781	476151	1781	476151
1947	1820	487864	1783	478158
1948	2043	539072	1783	470038
1949	2015	540294	1783	478525
1950	2113	567860	1783	479710
1951	2032	574400	1783	503895
1952	1971	534511	1783	484994
1953	1922	525341	1783	487228
1954	1988	538936	1783	481823
1955	2025	546351	1783	480950
1956	2104	569725	1783	482772
1957	1931	542436	1783	500517
1958	2013	554673	1783	492652
1959	2214	595232	1783	477748
1960	1858	512845	1783	492212
1961	2063	568947	1783	491535
1962	2224	622666	1783	500590
1963	2087	593679	1783	505562
1964	2471	684739	1783	492997
1965	2293	638687	1783	496714
1966	2360	661721	1783	500194
1967	2424	681817	1783	501826
1968	2627	738814	1783	501090
1969	2755	768872	1783	499347
1970	2945	840000	1783	508817
1971	2695	757775	1783	500557
1972	2927	825109	1783	503252
1973	2985	858090	1783	510903
1974	3313	927991	1783	502147
1975	3370	970776	1783	516755
1976	3521	1005006	1783	509528
1977	3496	992351	1783	504427
1978	3294	940710	1783	507347
1979	3329	945553	1783	503968
1980	3164	892382	1783	502048
1981	3404	966538	1783	507284
1982	3444	975572	1783	502541
1983	3256	920456	1783	502208
1984	3442	973331	1783	506946
1985	3340	934232	1783	499980
1986	3538	989578	1783	498180
1987	3650	1009443	1783	493336
1988	3853	1072016	1783	497514
1989	3688	1014319	1783	491542
1990	4001	1093296	1783	490122
1991	4076	1120877	1783	488185
1992	4120	1121884	1783	485182
1993	3487	947362	1783	483588
1994	3794	1026998	1783	483262
1995	3648	998923	1783	485944
1996	3690	1010857	1783	490231
1997	3786	1016879	1783	477684
1998	3818	1019656	1783	478606
1999	3838	1040657	1783	483422
2000	4388	1210066	1783	484613
2001	4305	1149341	1783	474235
2002	3736	1011779	1783	483383
2003	3994	1072964	1783	479579
2004	4000	1084551	1783	484242
2005	3515	948875	1783	486438
2006	4365	1177343	1783	481673
2007	4223	1139025	1783	478392
2008	4603	1249356	1783	485234
2009	3991	1080028	1783	486974
2010	3402	936927	1783	489790
2011	3875	1063459	1783	489361
2012	4037	1103235	1783	487327
2013	4480	1209633	1783	481104
2014	4245	1159182	1783	491075
2015	4266	1170590	1783	494802
2016	3657	960630	1783	468053
2017	434	98478	434	98478
2018	466	119579	466	119579
